,STARS,RATING,RT_Norm,RTU_Norm,Meta_Norm,Meta_U_Norm,IMDB_Norm
0,4.0,3.9,1.2,2.1,2.3,1.6,2.1
1,4.5,4.5,3.6,4.0,3.0,3.5,3.6
2,5.0,4.8,3.6,4.2,3.6,3.3,3.7
3,5.0,4.8,4.0,4.2,3.4,3.4,3.7
4,4.5,4.5,4.9,4.5,4.7,4.4,4.3
5,4.5,4.3,3.0,3.8,3.0,3.5,3.8
6,4.5,4.2,3.8,4.2,2.9,4.0,3.9
7,4.0,4.0,2.7,2.6,2.8,2.8,3.4
8,5.0,4.5,3.7,4.3,3.3,3.6,3.9
9,3.5,3.4,3.6,2.5,3.4,3.0,3.0
10,5.0,4.5,4.2,4.0,3.4,3.8,3.6
11,5.0,4.5,4.0,4.5,3.2,4.0,3.9
12,4.5,4.3,4.8,4.4,4.4,4.4,4.2
13,4.5,4.3,2.5,2.9,2.2,2.8,3.2
14,4.5,4.1,2.6,3.5,3.0,3.2,3.6
15,4.5,4.3,4.6,4.1,3.8,3.2,3.6
16,4.5,4.4,3.1,3.2,3.0,2.7,3.2
17,4.5,4.1,4.2,3.7,3.8,3.0,3.4
18,5.0,4.8,4.5,4.7,3.6,3.6,4.2
19,4.0,3.7,2.5,2.6,3.0,3.2,3.3
20,5.0,4.6,4.5,4.6,3.6,4.1,4.0
21,4.5,4.4,2.2,3.2,2.8,3.6,3.4
22,4.5,4.2,1.5,3.0,2.1,2.7,3.2
23,5.0,4.6,5.0,4.3,4.4,3.6,3.8
24,4.5,4.2,1.4,3.0,1.6,2.4,2.6
25,4.5,4.1,0.4,2.3,1.3,2.3,3.0
26,4.5,4.4,1.4,3.3,1.8,1.6,3.4
27,4.5,4.1,2.3,2.9,2.4,3.2,3.3
28,3.0,2.7,0.4,1.0,1.4,1.2,2.0
29,4.5,4.2,1.3,3.0,1.9,3.2,3.4
30,4.0,3.9,1.4,2.4,1.7,1.9,3.0
31,5.0,4.6,3.0,4.0,2.8,4.1,3.9
32,4.5,4.1,2.5,2.9,2.4,2.9,3.2
33,4.0,3.9,2.8,2.7,2.8,3.1,3.3
34,4.5,4.2,3.4,3.4,3.2,2.8,3.4
35,3.5,3.3,3.9,2.8,3.1,3.2,3.0
36,4.5,4.2,1.6,3.4,1.9,2.6,3.6
37,4.0,3.7,4.6,3.9,4.4,4.0,4.0
38,3.5,3.4,1.3,2.0,2.0,2.2,2.8
39,4.5,4.3,4.9,4.0,3.8,4.1,3.6
40,4.5,4.1,0.8,2.7,1.4,2.6,2.8
41,4.0,3.8,1.4,2.8,1.7,3.1,3.2
42,4.0,3.8,1.5,2.8,2.0,3.7,3.5
43,4.5,4.1,4.6,4.3,3.9,4.0,3.8
44,4.5,4.5,1.8,3.6,2.4,3.0,3.5
45,5.0,4.6,4.0,4.4,3.0,3.6,3.8
46,4.5,4.2,2.7,3.4,2.6,3.7,3.6
47,4.5,4.1,3.0,2.8,2.6,3.4,3.2
48,4.0,3.5,4.3,3.2,4.0,3.4,3.2
49,3.5,3.5,0.2,1.8,0.6,1.2,2.2
50,4.0,3.6,0.5,1.8,1.5,2.8,2.3
